Codice;Barcode;Descrizione;Fornitore;Quantità;Unità di misura;Prezzo acquisto;Prezzo vendita;Peso lordo (KG);Volume (M3);Categoria;Sottocategoria;Ubicazione;Note
51021;BR51021;CIOTOLA DAMASCO GOLD VETRO;Brandani;2;;;15,5;;;Natale;oggettistica natalizia;;
51022;BR51022;CENTROTAVOLA DAMASCO GOLD VETRO;Brandani;2;;;24,9;;;Natale;oggettistica natalizia;;
51023;BR51023;PIATTO DAMASCO GOLD VETRO;Brandani;2;;;21,9;;;Natale;oggettistica natalizia;;
52255;BR52255;SOTTOPIATTO GLITTER CHAMPAGNE SET 4 PZ PP;Brandani;3;;;23,9;;;Natale;tavola natalizia;;
52331;BR52331;TAVOLA 18 PZ LE BACCHE PORCELLANA;Brandani;2;;;109;;;Natale;tavola natalizia;;
52336;BR52336;VASSOIO LE BACCHE PORCELLANA;Brandani;1;;;45;;;Natale;tavola natalizia;;
52338;BR52338;PIATTO PORTATA LE BACCHE PORCELLANA;Brandani;1;;;21,5;;;Natale;tavola natalizia;;
52371;BR52371;TAVOLA 18 PZ CONNUBIO PORCELLANA;Brandani;2;;;119;;;Natale;tavola natalizia;;
52373;BR52373;TAZZINA CAFFE CONNUBIO SET 2 PZ PORCELLANA;Brandani;3;;;17;;;Natale;tavola natalizia;;
52376;BR52376;ZUCCHERIERA CONNUBIO PORCELLANA;Brandani;2;;;10,5;;;Natale;tavola natalizia;;
52379;BR52379;ALZATA STELLA CONNUBIO PORCELLANA;Brandani;1;;;42;;;Natale;tavola natalizia;;
52380;BR52380;FORCHETTINA CONNUBIO OLD GOLD SET 6 PZ INOX CON MANICO IN CERAMICA;Brandani;2;;;33;;;Natale;tavola natalizia;;
52381;BR52381;CUCCHIAINO CONNUBIO OLD GOLD SET 6 PZ INOX CON MANICO CERAMICA;Brandani;2;;;33;;;Natale;tavola natalizia;;
52388;BR52388;VUOTATASCHE CONNUBIO PORCELLANA;Brandani;2;;;9,9;;;Natale;oggettistica natalizia;;
52389;BR52389;VASSOIO CONNUBIO PORCELLANA;Brandani;2;;;26;;;Natale;tavola natalizia;;
52390;BR52390;VASSOIO STELLA CONNUBIO PORCELLANA;Brandani;2;;;19,5;;;Natale;tavola natalizia;;
52391;BR52391;ANTIPASTIERA ALBERO CONNUBIO PORCELLANA;Brandani;2;;;23,5;;;Natale;tavola natalizia;;
52393;BR52393;PIATTO PORTATA CONNUBIO PORCELLANA;Brandani;1;;;29;;;Natale;tavola natalizia;;
52396;BR52396;ALZATA CONNUBIO PORCELLANA CON CUPOLA IN VETRO;Brandani;1;;;49,9;;;Natale;tavola natalizia;;
52410;BR52410;TAVOLA 18 PZ BATUFFOLI PORCELLANA;Brandani;2;;;119;;;Natale;tavola natalizia;;
